210,3.19E+03
211,3.89E+03
212,4.34E+03
213,4.65E+03
214,4.89E+03
215,5.10E+03
216,5.27E+03
217,5.45E+03
218,5.61E+03
219,5.77E+03
220,5.91E+03
221,6.04E+03
222,6.16E+03
223,6.26E+03
224,6.34E+03
225,6.40E+03
226,6.44E+03
227,6.48E+03
228,6.48E+03
229,6.46E+03
230,6.40E+03
231,6.33E+03
232,6.23E+03
233,6.12E+03
234,6.00E+03
235,5.88E+03
236,5.74E+03
237,5.61E+03
238,5.48E+03
239,5.35E+03
240,5.23E+03
241,5.12E+03
242,5.02E+03
243,4.92E+03
244,4.84E+03
245,4.76E+03
246,4.70E+03
247,4.64E+03
248,4.58E+03
249,4.54E+03
250,4.50E+03
251,4.46E+03
252,4.43E+03
253,4.39E+03
254,4.36E+03
255,4.32E+03
256,4.29E+03
257,4.24E+03
258,4.20E+03
259,4.15E+03
260,4.09E+03
261,4.02E+03
262,3.95E+03
263,3.87E+03
264,3.79E+03
265,3.69E+03
266,3.59E+03
267,3.48E+03
268,3.36E+03
269,3.23E+03
270,3.10E+03
271,2.96E+03
272,2.81E+03
273,2.67E+03
274,2.52E+03
275,2.37E+03
276,2.22E+03
277,2.08E+03
278,1.93E+03
279,1.80E+03
280,1.66E+03
281,1.54E+03
282,1.42E+03
283,1.31E+03
284,1.21E+03
285,1.12E+03
286,1.04E+03
287,9.63E+02
288,8.95E+02
289,8.34E+02
290,7.80E+02
291,7.31E+02
292,6.88E+02
293,6.48E+02
294,6.15E+02
295,5.83E+02
296,5.54E+02
297,5.27E+02
298,5.03E+02
299,4.80E+02
300,4.58E+02
301,4.38E+02
302,4.17E+02
303,3.99E+02
304,3.80E+02
305,3.63E+02
306,3.45E+02
307,3.28E+02
308,3.12E+02
309,2.97E+02
310,2.81E+02
311,2.67E+02
312,2.52E+02
313,2.38E+02
314,2.24E+02
315,2.13E+02
316,2.00E+02
317,1.88E+02
318,1.77E+02
319,1.67E+02
320,1.57E+02
321,1.48E+02
322,1.38E+02
323,1.30E+02
324,1.22E+02
325,1.14E+02
326,1.07E+02
327,1.01E+02
328,9.40E+01
329,8.81E+01
330,8.25E+01
331,7.83E+01
332,7.26E+01
333,6.89E+01
334,6.40E+01
335,5.96E+01
336,5.58E+01
337,5.25E+01
338,5.00E+01
339,4.65E+01
340,4.19E+01
341,3.95E+01
342,3.75E+01
343,3.33E+01
344,3.23E+01
345,2.93E+01
346,2.79E+01
347,2.69E+01
348,2.44E+01
349,2.14E+01
350,2.14E+01
351,2.05E+01
352,1.83E+01
353,1.66E+01
354,1.50E+01
355,1.39E+01
356,1.36E+01
357,1.16E+01
358,1.03E+01
359,9.40E+00
360,8.22E+00
361,7.54E+00
362,6.03E+00
363,5.29E+00
364,5.02E+00
365,4.41E+00
366,2.83E+00
367,2.01E+00
368,1.23E+00
369,5.79E-01
370,-4.93E-01
